TIME, VerticalSpeed, RadarAltitude, TargetVerticalSpeed, TargetThrottle, EngineResponse(kn), Latitude, Longitude, XError, YError, TargetXSpeed, CurrentXSpeed, TargetXPitch, TargetYSpeed, CurrentYSpeed, TargetYPitch, TotalTargetPitch, TotalTargetHeading
47726.7000507392, -7.83851362191893, 550.145812988281, -20, 0.01, 315.170776367188, 28.6083469390869, -80.5997619628906, -292.680935638756, -102.438258307648, 15, -0.642078915786363, 15, 8.19506066461184, -0.571566142720775, 10.9712764658253, 18.5094467474554, 53.6719181720616
47726.7600507392, -8.18319731655227, 549.574890136719, -20, 0.01, 314.981018066406, 28.6083469390869, -80.5997619628906, -292.680935638756, -102.438258307648, 15, -0.624333955786062, 15, 8.19506066461184, -0.603857654211326, 11.0364976421715, 18.5472878897333, 53.5116976788851
47726.8400507391, -8.52891720997485, 548.969055175781, -20, 0.01, 314.382568359375, 28.6083469390869, -80.5997619628906, -292.680935638756, -102.438258307648, 15, -0.594808280215645, 15, 8.19506066461184, -0.649186373524019, 11.1150177829185, 18.5930393300859, 53.3197297018752
47726.9200507391, -8.87462481547027, 548.278564453125, -20, 0.01, 314.236633300781, 28.6083450317383, -80.5997619628906, -292.680935638756, -102.650345798959, 15, -0.559195873422003, 15, 8.37109328242559, -0.695998101842752, 11.4008072389309, 18.7613288129081, 52.6294830330651
47727.0000507391, -9.13460623752997, 547.672729492188, -20, 0.01, 314.893249511719, 28.6083450317383, -80.5997619628906, -292.680935638756, -102.650345798959, 15, -0.516364282950812, 15, 8.21202766391673, -0.740246656793145, 11.2509647818505, 18.6727492353931, 52.9897367772935
47727.0600507391, -9.48102352142142, 546.982238769531, -20, 0.01, 314.273590087891, 28.6083450317383, -80.5997619628906, -292.680935638756, -102.650345798959, 15, -0.478404143116875, 15, 8.21202766391673, -0.769589458358412, 11.2531289675199, 18.6740232292564, 52.9845077702599
47727.1400507391, -9.82784645306489, 545.96044921875, -20, 0.01, 314.395874023438, 28.6083450317383, -80.5997619628906, -292.680935638756, -102.650345798959, 15, -0.420233042038797, 15, 8.21202766391673, -0.801993831431092, 11.2488302147866, 18.6714928319959, 52.9948949645743
47727.2200507391, -10.175698359122, 545.234924316406, -20, 0.01, 314.429595947266, 28.6083450317383, -80.5997619628906, -292.680935638756, -102.650345798959, 15, -0.354014303591716, 15, 8.21202766391673, -0.826519475772014, 11.2264013602087, 18.6583005421609, 53.0491390039412
47727.3000507391, -10.4366832454283, 544.6640625, -20, 0.01, 314.041717529297, 28.6083431243896, -80.5997619628906, -292.680935638756, -102.86243329027, 15, -0.299753213545168, 15, 8.44108215456676, -0.840279807800708, 11.4444643946372, 18.7872778180948, 52.5252027481157
47727.3600507391, -10.7854177160654, 543.938537597656, -20, 0.01, 314.122650146484, 28.6083431243896, -80.5997619628906, -292.680935638756, -102.86243329027, 15, -0.222340955577793, 15, 8.22899466322163, -0.853051998037393, 11.2352546734585, 18.6635058870515, 53.0277175805164
