TIME, VerticalSpeed, RadarAltitude, TargetVerticalSpeed, TargetThrottle, EngineResponse(kn), Latitude, Longitude, XError, YError, TargetXSpeed, CurrentXSpeed, TargetXPitch, TargetYSpeed, CurrentYSpeed, TargetYPitch, TotalTargetPitch, TotalTargetHeading
47927.1088678427, -0.529830074382133, 536.6474609375, -20, 0.01, 311.787933349609, 28.6083583831787, -80.5997543334961, -291.832585673511, -101.165733359781, 15, -0.0675329937684021, 15, 8.09325866878247, -0.313103964308482, 10.0876351597091, 18.011665313248, 55.9120552854367
47927.1888678426, -0.877900901061366, 536.587768554688, -20, 0.01, 311.474487304688, 28.6083564758301, -80.5997543334961, -291.832585673511, -101.377820851092, 15, -0.0675053478791185, 15, 8.26929128659622, -0.314329704705133, 10.3164051393299, 18.1378151713463, 55.3195892653128
47927.2688678426, -1.22609094579988, 536.500061035156, -20, 0.01, 311.686431884766, 28.6083564758301, -80.5997543334961, -291.832585673511, -101.377820851092, 15, -0.0676721284433579, 15, 8.11022566808737, -0.315656973343162, 10.1346212874075, 18.0374154451032, 55.7896516912857
47927.3488678426, -1.48740502947446, 536.384582519531, -20, 0.01, 311.712982177734, 28.6083564758301, -80.5997543334961, -291.832585673511, -101.377820851092, 15, -0.0715707322242088, 15, 8.11022566808737, -0.318921045436681, 10.1598075172079, 18.051252486036, 55.7241923686158
47927.4088678426, -1.83530199767428, 536.279663085938, -20, 0.01, 311.422729492188, 28.6083564758301, -80.5997543334961, -291.832585673511, -101.377820851092, 15, -0.086339113490656, 15, 8.11022566808737, -0.327427072864229, 10.2356570753485, 18.0930663473537, 55.5277039839889
47927.4888678426, -2.18454649956915, 536.115417480469, -20, 0.01, 312.018768310547, 28.6083564758301, -80.5997543334961, -291.832585673511, -101.377820851092, 15, -0.118699149476768, 15, 8.11022566808737, -0.344982897666861, 10.3100966437149, 18.1343104695927, 55.3358089383638
47927.5688678426, -2.53471074095555, 535.923156738281, -20, 0.01, 312.017761230469, 28.6083564758301, -80.5997543334961, -291.832585673511, -101.377820851092, 15, -0.158723131474017, 15, 8.11022566808737, -0.366003511266215, 10.3680882793561, 18.1665829932539, 55.1869588516083
47927.6488678426, -2.79773275328874, 535.760559082031, -20, 0.01, 312.184143066406, 28.6083564758301, -80.5997543334961, -291.832585673511, -101.377820851092, 15, -0.202430255401682, 15, 8.11022566808737, -0.38841396450193, 10.4122035322183, 18.191215854865, 55.0741032611415
47927.7088678426, -3.14807287550937, 535.519226074219, -20, 0.01, 311.362915039063, 28.6083564758301, -80.5997543334961, -291.832585673511, -101.377820851092, 15, -0.236338517063891, 15, 8.11022566808737, -0.405477847629215, 10.4403500460851, 18.2069693112111, 55.0022689959889
47927.7888678426, -3.49844549101553, 535.249755859375, -20, 0.01, 312.663879394531, 28.6083545684814, -80.5997543334961, -291.832585673511, -101.589908342403, 15, -0.282033534607306, 15, 8.28625828590111, -0.428067582304941, 10.6844525085608, 18.3447940036839, 54.3848205073948
47927.8688678425, -3.84832804766867, 534.952331542969, -20, 0.01, 312.211761474609, 28.6083545684814, -80.5997543334961, -291.832585673511, -101.589908342403, 15, -0.327633371814778, 15, 8.12719266739226, -0.45016222655369, 10.5232360451598, 18.253527429581, 54.7914995075077
47927.9488678425, -4.11094636586506, 534.710815429688, -20, 0.01, 311.543029785156, 28.6083545684814, -80.5997543334961, -291.832585673511, -101.589908342403, 15, -0.361457905309099, 15, 8.12719266739226, -0.466264621808074, 10.5044918178304, 18.2429767703758, 54.8390636206259
47928.0088678425, -4.46133077956911, 534.364318847656, -20, 0.01, 312.226989746094, 28.6083545684814, -80.5997543334961, -291.832585673511, -101.589908342403, 15, -0.405757284459517, 15, 8.12719266739226, -0.486978417210386, 10.6208868645922, 18.3086974847191, 54.544653357006
