TIME, VerticalSpeed, RadarAltitude, TargetVerticalSpeed, TargetThrottle, Latitude, Longitude, XError, YError, TargetXSpeed, CurrentXSpeed, TargetXPitch, TargetYSpeed, CurrentYSpeed, TargetYPitch, TotalTargetPitch, TotalTargetHeading
47483.4488679137, -0.426726674936869, 544.383239746094, -15, 0.01, 28.6083564758301, -80.5997543334961, -317.387403716685, -90.0816976476447, 15, -0.0640190220491672, 15, 7.20653581181158, -0.315930001629133, 9.02695897612885, 17.4531580368754, 58.775259033057
47483.5088679137, -0.685751205995803, 544.347290039063, -15, 0.01, 28.6083564758301, -80.5997543334961, -317.387403716685, -90.0816976476447, 15, -0.0639074166763343, 15, 7.20653581181158, -0.316823517842071, 9.04148037331226, 17.4605000732732, 58.7347567356042
47483.5688679137, -0.94430792216346, 544.295776367188, -15, 0.01, 28.6083564758301, -80.5997543334961, -317.387403716685, -90.0816976476447, 15, -0.0638245984410044, 15, 7.20653581181158, -0.317714583905876, 9.0470397013342, 17.4633131815329, 58.7192605852922
47483.6288679136, -1.20245344733516, 544.228759765625, -15, 0.01, 28.6083564758301, -80.5997543334961, -317.387403716685, -90.0816976476447, 15, -0.0642211156433927, 15, 7.20653581181158, -0.318659892830986, 9.05323161807953, 17.4664478910452, 58.7020074225812
47483.6888679136, -1.46089909103212, 544.146301269531, -15, 0.01, 28.6083564758301, -80.5997543334961, -317.387403716685, -90.0816976476447, 15, -0.0682791682587509, 15, 7.20653581181158, -0.319968088021201, 9.06294621729859, 17.4713691742884, 58.6749519779577
47483.7488679136, -1.71981274059756, 544.048278808594, -15, 0.01, 28.6083564758301, -80.5997543334961, -317.387403716685, -90.0816976476447, 15, -0.0848431900650978, 15, 7.20653581181158, -0.322501762706825, 9.08275884442138, 17.4814180310446, 58.6198236640162
47483.8088679136, -1.97893478333284, 543.934753417969, -15, 0.01, 28.6083564758301, -80.5997543334961, -317.387403716685, -90.0816976476447, 15, -0.111042352523253, 15, 7.20653581181158, -0.325984363276601, 9.10094673605249, 17.4906570479134, 58.5692757249799
47483.8688679136, -2.23864278677912, 543.805603027344, -15, 0.01, 28.6083545684814, -80.5997543334961, -317.387403716685, -90.2937851389559, 15, -0.142804603479419, 15, 7.4355903024616, -0.330014752549505, 9.39078584202441, 17.6397074584487, 57.7714368221328
47483.9288679136, -2.49878136286769, 543.660827636719, -15, 0.01, 28.6083545684814, -80.5997543334961, -317.387403716685, -90.2937851389559, 15, -0.177768323622499, 15, 7.22350281111647, -0.334357454857277, 9.13980475796941, 17.5104414960445, 58.461472200499
47483.9888679136, -2.75926704770077, 543.500549316406, -15, 0.01, 28.6083545684814, -80.5997619628906, -318.23575368193, -90.2937851389559, 15, -0.214504651072018, 15, 7.22350281111647, -0.338867491401621, 9.16228432214057, 17.521915134721, 58.3992260857853
47484.0488679136, -3.01947105880235, 543.324584960938, -15, 0.01, 28.6083545684814, -80.5997619628906, -318.23575368193, -90.2937851389559, 15, -0.264704382682941, 15, 7.22350281111647, -0.344985622163571, 9.19024811429278, 17.5362167495183, 58.3219155567925
47484.1088679136, -3.27979201516657, 543.065612792969, -15, 0.01, 28.6083545684814, -80.5997619628906, -318.23575368193, -90.2937851389559, 15, -0.302557598061062, 15, 7.22350281111647, -0.349581241585229, 9.1850815946243, 17.5335720168923, 58.3361891151251
47484.1688679136, -3.54012029073817, 542.853149414063, -15, 0.01, 28.6083545684814, -80.5997619628906, -318.23575368193, -90.2937851389559, 15, -0.340233728495582, 15, 7.22350281111647, -0.35414739838339, 9.19481294667205, 17.5385543846435, 58.3093081053385
47484.2288679136, -3.80058722548857, 542.625, -15, 0.01, 28.6083545684814, -80.5997619628906, -318.23575368193, -90.2937851389559, 15, -0.377526124745053, 15, 7.22350281111647, -0.358663725042338, 9.20428353719155, 17.5434069489179, 58.283163052146
47484.2888679135, -4.06093825738899, 542.381286621094, -15, 0.01, 28.6083545684814, -80.5997619628906, -318.23575368193, -90.2937851389559, 15, -0.414213520367742, 15, 7.22350281111647, -0.363108291057836, 9.21345137663611, 17.5481078664914, 58.2578684963401
